data declinacao alt6 azm6 alt7 azm7 alt8 azm8 alt9 azm9 alt10 azm10 alt11 azm11 alt12 azm12 alt13 azm13 alt14 azm14 alt15 azm15 alt16 azm16 alt17 azm17 alt18 azm18
1-jan -23,07 6,10 112,3 19,59 109,4 33,29 107,5 47,08 107,1 60,82 109,2 74,09 119,5 82,73 179,8 74,14 119,6 60,88 109,2 47,14 107,1 33,35 107,5 19,65 109,4 6,15 112,3
2-jan -22,99 6,08 112,2 19,58 109,3 33,29 107,4 47,09 107,0 60,84 109,0 74,12 119,3 82,81 179,8 74,17 119,3 60,89 109,0 47,14 107,0 33,34 107,4 19,64 109,3 6,13 112,2
3-jan -22,91 6,06 112,1 19,57 109,2 33,28 107,3 47,09 106,8 60,85 108,9 74,15 119,0 82,89 179,8 74,20 119,1 60,90 108,9 47,14 106,8 33,34 107,3 19,62 109,2 6,11 112,1
4-jan -22,82 6,04 112,0 19,55 109,1 33,27 107,2 47,09 106,7 60,86 108,7 74,19 118,7 82,98 179,8 74,24 118,8 60,92 108,7 47,14 106,7 33,33 107,2 19,61 109,1 6,09 112,0
5-jan -22,72 6,01 112,0 19,54 109,0 33,27 107,1 47,09 106,6 60,88 108,5 74,23 118,4 83,08 179,8 74,28 118,4 60,93 108,5 47,15 106,6 33,32 107,1 19,59 109,0 6,06 111,9
6-jan -22,62 5,98 111,9 19,52 108,9 33,26 107,0 47,09 106,4 60,89 108,3 74,27 118,0 83,18 179,8 74,32 118,1 60,95 108,3 47,15 106,4 33,31 107,0 19,58 108,9 6,04 111,8
7-jan -22,51 5,96 111,7 19,50 108,8 33,25 106,9 47,09 106,3 60,91 108,0 74,31 117,6 83,29 179,8 74,36 117,7 60,96 108,1 47,15 106,3 33,30 106,9 19,56 108,8 6,01 111,7
8-jan -22,39 5,93 111,6 19,48 108,7 33,24 106,7 47,10 106,1 60,92 107,8 74,36 117,2 83,41 179,8 74,41 117,3 60,98 107,8 47,15 106,1 33,30 106,7 19,54 108,6 5,98 111,6
9-jan -22,27 5,90 111,5 19,46 108,5 33,23 106,6 47,10 105,9 60,94 107,6 74,40 116,8 83,53 179,8 74,45 116,9 60,99 107,6 47,15 105,9 33,29 106,6 19,52 108,5 5,95 111,5
10-jan -22,14 5,86 111,4 19,44 108,4 33,22 106,4 47,10 105,7 60,96 107,3 74,45 116,4 83,66 179,8 74,50 116,4 61,01 107,3 47,15 105,7 33,27 106,4 19,50 108,4 5,92 111,4
